BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
870021-G;3418-Y-G;AMORT/DEL TOY/NISSAN URVAN Z20/Z24/E24 YOITOKI;KO;YOI;UNI;499,00;7,07
870109-G;11245458;AMORT/DEL TOYOTA/ISUZU TL23N/TL60/EFL + 5 CM. (72 CM LONG);KO;YOI;UNI;9,00;8,47
870060;HQ-B-3087-Y;AMORT/DEL(L) VITARA. 88-95 SE416/JLX1;KO;YOI;UNI;1,00;17,65
870060-G;B-3087-Y;AMORT/DEL(L), VITARA. 88-95 SE416/JLX1;KO;YOI;UNI;49,00;17,10
870059-G;B-3086-Y;AMORT/DEL(R), VITARA. 88-95 SE416/JLX1;KO;YOI;UNI;50,00;17,10
870063-O;MR448161;AMORT/DEL(R/L) MITSUBISHI MONTERO  00-;KO;YOI;UNI;49,00;19,05
870063-G;MR448161-G;AMORT/DEL(R/L), MONTERO. 00-;KO;YOI;UNI;25,00;19,05
870106-G;4160162C00;AMORT/DEL(RH) SUZUKI CARRY 85/03;KO;YOI;UNI;101,00;15,15
870012;HQ-B-1041-Y;AMORT/TRAS (L) NISSAN SUNNY B12/SENTRA B13;KO;YOI;UNI;54,00;18,13
870055-G;YOI-171-HDL;AMORT/TRAS (LH) PATENTADO C/ROSCA TOY TURING 4X4;KO;YOI;UNI;15,00;17,65
870036;HQ-B-2151 HDR-Y;AMORT/TRAS (LH) RECARGABLE C/ROSCA  TOY EE100/AE100/CE100;KO;YOI;UNI;783,00;18,13
870032-G;YOI-171L;AMORT/TRAS (LH) RECARGABLE C/ROSCA TOY TURING 4X4;KO;YOI;UNI;41,00;17,65
870014-G;B-2151-Y-HD;AMORT/TRAS (LH) TOY COROLLA  AE101/CE100 YOITOKI;KO;YOI;UNI;233,00;17,65
870011;HQ-B-1040-Y;AMORT/TRAS (R) NISSAN SUNNY B12/SENTRA B13;KO;YOI;UNI;63,00;18,13
870065-G;U-3739;AMORT/TRAS (R/L)  HONDA-CRV. 95/02 LH/RH DR1 2.0;KO;YOI;UNI;58,00;13,62
870058-G;343358-Y;AMORT/TRAS (R/L) NOAH LITEACE 97/02;KO;YOI;UNI;1.438,00;8,47
870054-G;YOI-171-HDR;AMORT/TRAS (RH) PATENTADO C/ROSCA TOY TURING 4X4;KO;YOI;UNI;14,00;17,65
870035;HQ-B-2150 HDR-Y;AMORT/TRAS (RH) RECARGABLE C/ROSCA  TOY EE100/AE100/CE100;KO;YOI;UNI;786,00;18,13
870031-G;YOI-171R;AMORT/TRAS (RH) RECARGABLE C/ROSCA TOY TURING 4X4;KO;YOI;UNI;37,00;17,65
870013-G;B-2150-Y-HD;AMORT/TRAS (RH) TOY COROLLA  AE101/CE100 YOITOKI;KO;YOI;UNI;225,00;17,65
870115-G;E6210EM30C;AMORT/TRAS (RH/LH) NISSAN TIIDA/VERSA 04/ADEL USA;KO;YOI;UNI;139,00;12,87
870051-G;E-3561-Y-G;AMORT/TRAS MIT.PAJERO V10V/V14V/V44W 91;KO;YOI;UNI;113,00;8,47
870103-G;MB914729;AMORT/TRAS MITSUBISHI SPACE 4WD (RH/LH) 92/09;KO;YOI;UNI;69,00;12,11
870099-G;343810;AMORT/TRAS NISSAN NOTE 02/06 GAS;KO;YOI;UNI;39,00;13,80
120073;B-2150 HDR-Y;AMORT/TRAS RECARGABLE C/ROSCA TOY EE100/AE100;KO;YOI;UNI;159,00;18,13
120074;B-2151 HDR-Y;AMORT/TRAS RECARGABLE C/ROSCA TOY EE100/AE100;KO;YOI;UNI;199,00;18,13
870127-G;348033;AMORT/TRAS SUZUKI APV;KO;YOI;UNI;9,00;8,51
870107-O;4170085010;AMORT/TRAS SUZUKI CARRY 85/03 OIL;KO;YOI;UNI;79,00;7,27
870009-O;3150-Y;AMORT/TRAS TOY CE70 REFORZADO YOITOKI 2727;KO;YOI;UNI;149,00;7,07
870009-G;3150-Y-G;AMORT/TRAS TOY CE70 REFORZADO YOITOKI 2727;KO;YOI;UNI;407,00;7,07
870008-O;3068-Y;AMORT/TRAS TOY COAS/HIACE/ISUZU/LAND CRUS WF YOITOKI;KO;YOI;UNI;309,00;7,07
870007-G;2727-Y;AMORT/TRAS TOY DIESEL/GASOLINA COR/VAG YOITOKI;KO;YOI;UNI;1.899,00;7,00
870095-O;4853126780-O;AMORT/TRAS TOY HIACE KDH2/LH2/TRH2 OIL;KO;YOI;UNI;727,00;8,15
870118-G;4853144070;AMORT/TRAS TOY IPSUM 05/ADELANTE;KO;YOI;UNI;358,00;12,87
870022;HQ-2572-Y;AMORT/TRAS TOY KE/SE/TE/CE70 YOITOKI;KO;YOI;UNI;209,00;7,07
870024-G;3374-Y-G;AMORT/TRAS TOY LAND CRUISER BJ70/BJ70V YOITOKI;KO;YOI;UNI;199,00;7,07
870098-G;4853142010;AMORT/TRAS TOY RAV4 95/04 GAS;KO;YOI;UNI;98,00;8,90
870119-G;48530-16460;AMORT/TRAS TOY STARLET/RAUM/TERCEL/PASEO/CORSA (96/01-00) R/L;KO;YOI;UNI;52,00;10,90
870112-G;4853002180;AMORT/TRAS TOYOTA COROLLA ZZE121;KO;YOI;UNI;89,00;12,11
870122-G;41700-65J00;AMORTIGUADOR DE SUZUKI GRAND VITARA  08/2014;KO;YOI;UNI;123,00;7,87
870168-G;4852052130;AMORTIGUADOR DEL L TOY VITZ 05 GAS;KO;YOI;UNI;50,00;19,44
870167-G;4851052C20;AMORTIGUADOR DEL R TOY VITZ 05 GAS;KO;YOI;UNI;49,00;19,44
870170-G;41602-65J00;AMORTIGUADOR DELANTERO SUZUKI GRAN VITARA (L);KO;YOI;UNI;204,00;19,00
870171-G;41601-65J00;AMORTIGUADOR DELANTERO SUZUKI GRAN VITARA (R);KO;YOI;UNI;203,00;19,00
870124-G;341340;AMORTIGUADOR DELANTERO TOYOTA TUNDRA;KO;YOI;UNI;89,00;15,89
870166-G;334363;AMORTIGUADOR L TRAS NISS X-TRAIL 01 GAS;KO;YOI;UNI;32,00;20,25
870165-G;334362;AMORTIGUADOR R TRAS NISS X-TRAIL 01 GAS;KO;YOI;UNI;33,00;20,25
870169-G;4853052800;AMORTIGUADOR TRAS L/R TOY VITZ  GAS;KO;YOI;UNI;47,00;10,13
120079;U2927-Y;AMORTIGUADOR TRASERO NISSAN SUNNY MODELO 97;KO;YOI;UNI;130,00;14,17
120064;YOI-168;ASPA VENTILADOR TOY COROLLA UNIV CE90/AE110 M;TW;NAK;UNI;2.635,00;4,99
;;AT196 / COROLLA EE91/EE102/EE103;;;;;
110812;IGC206F;BOBINA T/LAPIZ  NISSAN INFINITY17/SENTRA 14/VERSA 010 VARIOS;JAP;FLAMA;UNI;25,00;17,50
110811;IGC117F;BOBINA T/LAPIZ  TY COROLLA/SPACIO/CELICA/CALDINA/RAV4/VITZ/PASO;JAP;FLAMA;UNI;14,00;17,50
110809;IGC105F;BOBINA T/LAPIZ TY TACOMA/HILUX/DINA/PRADO 04 TOYOACE 07/;JAP;FLAMA;UNI;14,00;17,50
860001;HQ-16100-69085;BOMBA AGUA 1C 97;KO;YOI;UNI;384,00;14,96
860115;16100-79035;BOMBA AGUA 1Y-2Y-3Y-4Y;KO;YOI;UNI;119,00;10,33
860007;HQ-16100-19135;BOMBA AGUA 4AF/5AF 91 COROLLA/CORONA C/BASE ´97;KO;YOI;UNI;89,00;9,74
120723;16100-19135;BOMBA AGUA 4AF/5AF 91 COROLLA/CORONA C/BASE´97;KO;YOI;UNI;1,00;9,54
860000;HQ-16100-19125;BOMBA AGUA TOY 2E/3E;KO;YOI;UNI;54,00;8,84
860006;16100-79095-KO;BOMBA AGUA TOY 3S-FE CORONA CAMRY;KO;YOI;UNI;119,00;11,39
120724;16100-79155-KO;BOMBA AGUA TOY HIACE 1RZ/2RZE RZH-100-110-124;KO;YOI;UNI;131,00;13,44
120660;16100-19075;BOMBA AGUA TOY/COROLLA 4K/5K 86/87;KO;YOI;UNI;106,00;11,84
120657;21010-E3000-KO;BOMBA DE AGUA NISSAN Z20/Z16;KO;YOI;UNI;159,00;9,33
110806;GIP-604;BOMBA ELEC. GASOL. SUMERGIBLE  SUZUKI;JAP;HKT;UNI;39,00;24,00
110807;GIP-514;BOMBA ELEC. GASOL. SUMERGIBLE  TOY LAND CRUISER/PRADO 02/09;JAP;HKT;UNI;30,00;22,00
110784;GIP-510;BOMBA ELEC. GASOL. SUMERGIBLE NISSAN INFINITY CEIRO AUTO;JAP;HKT;UNI;341,00;24,00
110783;GIP-602;BOMBA ELEC. GASOL. SUMERGIBLE TOY COROLLA 88/90 NEW;JAP;HKT;UNI;24,00;36,00
110778;GIP-601;BOMBA ELEC. GASOL. SUMERGIBLE TOY LAND CRUISER 99/011 1FZFE/FZJ80/2UZFE/UZJ100;JAP;HKT;UNI;134,00;36,00
110779;GIP-503;BOMBA ELEC. GASOL. SUMERGIBLE TOY YARIS/VITZ/VIOS/;JAP;HKT;UNI;15,00;23,70
120695;EFP3858-3-B-PG;BOMBA ELECT 3B/PG TOY COR 92/200/NIIS/MIT/HON;KO;S/M;UNI;509,00;6,80
120697;EEFP5004-1;BOMBA ELECT GAS GRANDE TOY HIACE/HILUX/MIT/98;KO;S/M;UNI;674,00;11,90
110814;GIP-536;BOMBA ELECT GAS SUMERGIBLE TOY HILUX REVO 2016;JAP;HKT;UNI;16,00;23,00
110815;GIP-545;BOMBA ELECT GAS SUMERGIBLE TOY HILUX REVO 2016  FORTUNER;JAP;HKT;UNI;21,00;26,80
110770;GIP-505-JAP;BOMBA ELECT GAS SUMERGIBLE TOY HILUX VIGO 2TR-FE 2700cc. FORTUNER Sw4 UNIV;JAP;HKT;UNI;41,00;23,70
122484;E8012-S;BOMBA GAS ELECTRICA EXTERIOR HEP-02R 12V SET;KO;S/M;UNI;5,00;7,20
120719;EP-259-Y;BOMBA GASOLINA ELECTRICA CUADRADA UNIVERSAL C;KO;S/M;UNI;159,00;6,10
120720;EP-500-0-Y;BOMBA GASOLINA ELECTRICA HEP-02 CON MOCHILA U;KO;S/M;UNI;358,00;6,10
220634;37990-56B00;BOTON LEVANTA VIDRIO SET SUZUKI VITARA 4 BOTO;TW;S/M;UNI;11,00;39,00
220635;37995-56B11;BOTON LEVANTA VIDRIO SUZUKI VITARA SUELTO;TW;S/M;UNI;29,00;6,50
130804;YOI-207;BUJE DE BANDEJA ESTABILIZADOR NIS PATHFINDER SET 3 PC;KO;YOI;UNI;455,00;2,10
120603;YOI-193;BUJE DE BANDEJA INTERIOR COROLLA 90 CHICO;KO;YOI;UNI;306,00;1,10
120731;YOI-224;BUJE MUELLE TOY COROLLA 90 VAG CHICO;KO;YOI;UNI;224,00;1,30
130803;YOI-206;BUJE PARA AMORTIGUADOR CONICO TOY. 2727 UNIV;KO;YOI;UNI;2.699,00;0,19
110660;37207-35011;BUJE RODAMIENTO CENTRAL COAS/DYNA/BB/BU 1;JAP;TZK;UNI;76,00;12,50
120611;37207-35011-TW;BUJE RODAMIENTO CENTRAL COAS/DYNA/BB/BU10;TW;NAK;UNI;1,00;3,65
120702;48655-20220-Y;BUJE TIJERAL CALDINA REDONDO AE100 CHICO YOI;KO;YOI;UNI;4.481,00;1,25
120726;48655-12010-Y;BUJE TIJERAL COROLLA 88/91;KO;YOI;UNI;1.181,00;1,00
120704;YOI-151;BUJE TOPE AMORTIGUADOR UNIVERSAL Y;KO;S/M;UNI;19,00;0,65
870079;HQ-DAMPER-CH-Y;BUJE TOPE DE AMORTIGUADOR UNIV. CHICO TIPO ORIGINAL;KO;YOI;UNI;140,00;1,08
120715;BIG DAMPER;BUJE TOPE DE AMORTIGUADOR UNIV. GRANDE TIPO ORIGINAL;KO;YOI;UNI;399,00;1,84
111155;90919-21316-SEIWA;CABLE BUJIA 2Y/3Y/4Y HILUX/HIACE 063 SEIWA JA;JAP;SW;UNI;29,00;6,50
110747;22450-27T86-SEIWA;CABLE BUJIA NISSAN NA16S ATLAS SEIWA;JAP;SW;SET;54,00;8,50
111267;90919-21569/75/C33;CABLE BUJIA NOAH LITEACE 5K CARB/ 75/33 LARGO;JAP;SW;SET;200,00;14,00
111281;90919-21569/75/C33-V;CABLE BUJIA NOAH LITEACE 5K CARB/ 75/33 LARGO CNG GAS;JAP;SW;SET;139,00;13,50
