BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
229459;TY10328AL;GUARDAFANGO TOY TUNDRA 014  (OTN);TW;TYG;UNI;1,00;140,00
229448;TY10299AL;GUARDAFANGO TOY YARIS 012;TW;TYG;UNI;1,00;23,00
121184;YOI-153;GUARDAPOLVO CON TOPE DE AMORTIGUADOR CHICO YOI;KO;YOI;UNI;313,00;1,40
121193;YOI-195;GUARDAPOLVO DE JUNTA NISSAN PATHFINDER;KO;YOI;UNI;751,00;1,10
121198;YOI-226;GUARDAPOLVO DE JUNTA NISSAN PATHFINDER BAJITO;KO;YOI;UNI;223,00;1,00
850000;HQ RR3920022;GUARDAPOLVO DE TERMINAL EXT. DE JUNTA H.;KO;YOI;UNI;5.114,00;1,41
850046;HQ RR3935012;GUARDAPOLVO DE TERMINAL EXT. DE JUNTA H. NISS. B13  25X52X22;KO;YOI;UNI;387,00;1,16
850001;HQ RF3950012;GUARDAPOLVO DE TERMINAL IN.  DE JUNTA H.;KO;YOI;UNI;4.810,00;1,68
850075;HQ RF3880031;GUARDAPOLVO SIMPLE DE TERMINAL EXT.DE JUNTA H.;KO;YOI;UNI;429,00;1,42
850072;HQ-RF3950012 S/S;GUARDAPOLVO SIMPLE DE TERMINAL IN.. DE JUNTA H.;KO;YOI;UNI;239,00;1,23
227108;773-1405N-AE;GUIIÑADOR LAT. VOLKSWAGEN TRUK FH16..08- .;TW;DEPO;PCS;89,00;8,50
226032;212-15G6L-AE2;GUIÑADOR  LAT TOY LAND CRUSSIER 2003/5/6;TW;DEPO;UNI;71,00;15,20
226033;212-15G6R-AE2;GUIÑADOR  LAT TOY LAND CRUSSIER 2003/5/6;TW;DEPO;UNI;70,00;15,20
229254;212-1664L-YA;GUIÑADOR DEL. TOY HIACE 93 RZH. 101,102,103,104;TW;DEPO;UNI;15,00;13,60
229255;212-1664R-YA;GUIÑADOR DEL. TOY HIACE 93 RZH. 101,102,103,104;TW;DEPO;UNI;14,00;13,60
229350;312-1625L-US;GUIÑADOR FRONTAL TOY.LAND CRUISER 91- 97 NEW;TW;DEPO;PCS;29,00;5,30
229351;312-1625R-US;GUIÑADOR FRONTAL TOY.LAND CRUISER 91- 97 NEW;TW;DEPO;PCS;28,00;5,30
229229;212-2045L-AE;GUIÑADOR HALOGENO CON VICEL COROLLA RU X3D/5D;TW;DEPO;UNI;6,00;19,00
229230;212-2045R-AE;GUIÑADOR HALOGENO CON VICEL COROLLA RU X3D/5D;TW;DEPO;UNI;5,00;19,00
142833;212-15Y016-L;GUIÑADOR LAT 1/2 LUZ NISSAN AD 2004 NARANJA Y1;KO;S/M;UNI;40,00;5,70
142834;212-15Y016-R;GUIÑADOR LAT 1/2 LUZ NISSAN AD 2004 NARANJA Y1;KO;S/M;UNI;33,00;5,70
222822;212-1501N-A;GUIÑADOR LAT GUARDAFANGO TOY HILUX UNIVERSAL;TW;DEPO;UNI;59,00;0,65
229251;219-1506R-UE;GUIÑADOR LAT HINO RANGER FD,FG 2003;TW;DEPO;UNI;10,00;21,00
232880;215-1556-L-A-KO;GUIÑADOR LAT MAZDA BONGO E2000 99-00 P/UP KO;KO;S/M;UNI;50,00;7,00
232881;215-1556-R-A-KO;GUIÑADOR LAT MAZDA BONGO E2000 99-00 P/UP KO;KO;S/M;UNI;50,00;7,00
142822;212-15Y010-R;GUIÑADOR LAT TOY CARIBE AE111/115 98 KO;KO;S/M;UNI;12,00;5,80
142840;212-15Y019-R;GUIÑADOR LAT TOY CERES 90;KO;S/M;UNI;129,00;4,00
142839;212-15Y019-L;GUIÑADOR LAT TOY CERES 90;KO;S/M;UNI;130,00;4,00
142837;212-15Y018-L;GUIÑADOR LAT TOY MARINO 90/91;KO;S/M;UNI;51,00;4,00
142838;212-15Y018-R;GUIÑADOR LAT TOY MARINO 90/91;KO;S/M;UNI;37,00;4,00
226220;221-1519L-UE;GUIÑADOR LAT. HYUNDAI ACCENT 96  3D ECE.;TW;DEPO;UNI;28,00;4,80
226221;221-1519R-UE;GUIÑADOR LAT. HYUNDAI ACCENT 96  3D ECE.;TW;DEPO;UNI;27,00;4,80
229049;313-1510L-AS;GUIÑADOR LAT. ISUZU TROOPER 98/99 VAGON S-LX;TW;DEPO;UNI;3,00;50,00
229050;313-1510R-AS;GUIÑADOR LAT. ISUZU TROOPER 98/99 VAGON S-LX2;TW;DEPO;UNI;2,00;50,00
229200;315-1515L-AS6;GUIÑADOR LAT. NISS. PATHFINDER 96/98/00 -6 PLOMO;TW;DEPO;UNI;5,00;9,00
229201;315-1515R-AS6;GUIÑADOR LAT. NISS. PATHFINDER 96/98/00 -6 PLOMO;TW;DEPO;UNI;4,00;9,00
229162;215-1588L-AE;GUIÑADOR LAT. NISSAN ALMERA ’98-’00/N15;TW;DEPO;UNI;45,00;6,60
229163;215-1588R-AE;GUIÑADOR LAT. NISSAN ALMERA ’98-’00/N15;TW;DEPO;UNI;44,00;6,60
229096;215-15A3L-U-Y;GUIÑADOR LAT. NISSAN WINGROAD Y11 99 AMARILLO;TW;DEPO;UNI;10,00;9,15
229098;215-15A3R-U-Y;GUIÑADOR LAT. NISSAN WINGROAD Y11 99 AMARILLO;TW;DEPO;UNI;9,00;9,15
229152;312-1505L-AS;GUIÑADOR LAT. TOY CORROLA AUT/VAGON 93/97;TW;DEPO;PCS;10,00;4,20
229153;312-1505R-AS;GUIÑADOR LAT. TOY CORROLA AUT/VAGON 93/97;TW;DEPO;PCS;14,00;4,20
222922;212-1520R-1A;GUIÑADOR LAT. TOY. COROLLA AE81 86/87 CROMADO;TW;DEPO;UNI;60,00;4,55
222923;212-1520L-1A;GUIÑADOR LAT. TOY. COROLLA AE81 86/87 CROMADO;TW;DEPO;UNI;60,00;4,55
229345;212-15C8L-UE;GUIÑADOR LAT. TOY. LANN CRUISER FJ100 98-2004;TW;DEPO;PCS;10,00;8,35
229346;212-15C8R-UE;GUIÑADOR LAT. TOY. LANN CRUISER FJ100 98-2004;TW;DEPO;PCS;10,00;8,35
229069;312-1556L-AS;GUIÑADOR LAT. TOY. TUNDRA 05-06. DOBLE CAB;TW;DEPO;PCS;15,00;32,50
229070;312-1556R-AS;GUIÑADOR LAT. TOY. TUNDRA 05-06. DOBLE CAB;TW;DEPO;PCS;15,00;32,50
229333;212-1680L-UE;GUIÑADOR LAT. TOY.DYNA XZU.99-2003;TW;DEPO;PCS;9,00;25,70
229334;212-1680R-UE;GUIÑADOR LAT. TOY.DYNA XZU.99-2003;TW;DEPO;PCS;9,00;25,70
229286;212-15F8L-A;GUIÑADOR LAT. TOY.HIACE  2001;TW;DEPO;UNI;8,00;16,00
229287;212-15F8R-A;GUIÑADOR LAT. TOY.HIACE  2001;TW;DEPO;UNI;6,00;16,00
229301;212-15G9L-A;GUIÑADOR LAT. TOY.IPSUM 96-97.;TW;DEPO;PCS;50,00;8,60
229302;212-15G9R-A;GUIÑADOR LAT. TOY.IPSUM 96-97.;TW;DEPO;PCS;70,00;8,60
229278;773-1519L-UE;GUIÑADOR LAT. VOLVO FM/FH..02-07- TRUCK-;TW;DEPO;UNI;20,00;6,00
229374;215-1545L-A;GUIÑADOR LAT.NISS. CONDOR UD520/CH520/CH450;TW;DEPO;PCS;65,00;9,20
229375;215-1545R-A;GUIÑADOR LAT.NISS. CONDOR UD520/CH520/CH450;TW;DEPO;PCS;24,00;9,20
229298;115-1503L-U;GUIÑADOR LAT.NISS.SENTRA 1800 MOD. 2000;TW;DEPO;UNI;4,00;7,90
229299;115-1503R-U;GUIÑADOR LAT.NISS.SENTRA 1800 MOD. 2000;TW;DEPO;UNI;4,00;7,90
229376;218-1407N-AE;GUIÑADOR LAT/GURDAFANG .SUZUKI VITARA 2000-04/UNIVERSAL;TW;DEPO;PCS;50,00;2,20
226130;331-1524L-US;GUIÑADOR LAT/LUZ PARQUEO FORD EXPLORER 95-2001;TW;DEPO;PCS;8,00;10,20
226131;331-1524R-US;GUIÑADOR LAT/LUZ PARQUEO FORD EXPLORER 95-2001;TW;DEPO;PCS;8,00;10,20
223065;214-1515L-AE-C;GUIÑADOR LAT/MIT/GALANT 89/92 E33A;TW;DEPO;UNI;1,00;4,80
223190;214-1515-CYA-L;GUIÑADOR LAT/MITSU/GALANT 89/92 E33A NARANJA;TW;DEPO;UNI;9,00;4,70
223104;215-1574L-UE;GUIÑADOR LAT/NISSAN SERENA C23 92;TW;DEPO;UNI;46,00;10,99
223105;215-1574R-UE;GUIÑADOR LAT/NISSAN SERENA C23 92;TW;DEPO;UNI;45,00;10,99
229149;773-1602N-UE;GUIÑADOR LATERAL CAMION VOLVO FL12/FL16 93/02;TW;DEPO;UNI;100,00;5,60
226066;212-15D3L-UE;GUIÑADOR LATERAL ESQ. FJ100 LAND CRUISER 2002;TW;DEPO;UNI;13,00;10,00
226067;212-15D3R-UE;GUIÑADOR LATERAL ESQ. FJ100 LAND CRUISER 2002;TW;DEPO;UNI;13,00;10,00
229177;314-1503-P-CA-U;GUIÑADOR LATERAL MITSUBISHI ECLIPSE 92/94 TUN;TW;DEPO;SET;21,00;19,20
222840;214-1508L-2A;GUIÑADOR LATERAL MITSUBISHI L200 87/90 BLACK;TW;DEPO;UNI;1,00;3,55
229178;320-1501L-AS;GUIÑADOR LATERAL MITSUBISHI LEGACY 92-94;TW;DEPO;UNI;46,00;35,18
229179;320-1501R-AS;GUIÑADOR LATERAL MITSUBISHI LEGACY 92-94;TW;DEPO;UNI;45,00;35,18
223089;214-1556L-AE;GUIÑADOR LATERAL MITSUBISHI MONTERO 98 BLANCO;TW;DEPO;UNI;7,00;11,00
223090;214-1556R-AE;GUIÑADOR LATERAL MITSUBISHI MONTERO 98 BLANCO;TW;DEPO;UNI;6,00;11,00
222865;315-1510R-NS;GUIÑADOR LATERAL NISSAN PATHFINDER 96 USA;TW;DEPO;UNI;20,00;6,00
222866;315-1510L-NS;GUIÑADOR LATERAL NISSAN PATHFINDER 96 USA;TW;DEPO;UNI;20,00;6,00
226156;315-1534L-US;GUIÑADOR LATERAL NISSAN PATHFINDER 98/2004 US;TW;DEPO;UNI;10,00;11,00
229031;115-1505-L-LU;GUIÑADOR LATERAL NISSAN SERENA 2002/05;TW;DEPO;UNI;11,00;14,82
229032;115-1505-R-U;GUIÑADOR LATERAL NISSAN SERENA 2002/05;TW;DEPO;UNI;10,00;14,82
229211;215-15A2L-A;GUIÑADOR LATERAL NISSAN SUNNY 00 INDICADOR B1;TW;DEPO;UNI;20,00;8,80
229212;215-15A2R-A;GUIÑADOR LATERAL NISSAN SUNNY 00 INDICADOR B1;TW;DEPO;UNI;20,00;8,80
222876;215-1519R-C;GUIÑADOR LATERAL NISSAN SUNNY B11 BLANCO;TW;DEPO;UNI;14,00;2,50
222896;212-1595-R;GUIÑADOR LATERAL TOY CARINA/CALDINA 92/94/96;TW;DEPO;UNI;5,00;7,25
222897;212-1595-L;GUIÑADOR LATERAL TOY CARINA/CALDINA 92/94/96;TW;DEPO;UNI;5,00;7,25
226160;212-1577L-CYA;GUIÑADOR LATERAL TOY COASTER 93/99 BLANCO;TW;DEPO;UNI;19,00;8,50
226161;212-1577R-CYA;GUIÑADOR LATERAL TOY COASTER 93/99 BLANCO;TW;DEPO;UNI;18,00;8,50
222902;212-1577R-YA;GUIÑADOR LATERAL TOY COASTER 93/99 NARANJA;TW;DEPO;UNI;4,00;8,00
222903;212-1577L-YA;GUIÑADOR LATERAL TOY COASTER 93/99 NARANJA;TW;DEPO;UNI;4,00;8,00
232829;212-1524-C-L-KO;GUIÑADOR LATERAL TOY COROLLA 90 CRISTAL KO;KO;S/M;UNI;102,00;3,00
232830;212-1524-C-R-KO;GUIÑADOR LATERAL TOY COROLLA 90 CRISTAL KO;KO;S/M;UNI;102,00;3,00
232849;212-1592-L-KO;GUIÑADOR LATERAL TOY COROLLA AE110 95 KO;KO;S/M;UNI;4,00;3,00
222929;212-1535R;GUIÑADOR LATERAL TOY CORONA 81/82 TT132;TW;DEPO;UNI;19,00;3,00
223087;212-1625L-U;GUIÑADOR LATERAL TOY CORONA 85/87 ST150;TW;DEPO;UNI;10,00;3,60
223088;212-1625R-U;GUIÑADOR LATERAL TOY CORONA 85/87 ST150;TW;DEPO;UNI;14,00;3,60
222938;212-1538R;GUIÑADOR LATERAL TOY CORONA 87;TW;DEPO;UNI;15,00;4,90
222939;212-1538L;GUIÑADOR LATERAL TOY CORONA 87;TW;DEPO;UNI;15,00;4,90
222940;212-1543R-A;GUIÑADOR LATERAL TOY CORONA 88/89 AT171;TW;DEPO;UNI;4,00;5,99
222941;212-1543L-A;GUIÑADOR LATERAL TOY CORONA 88/89 AT171;TW;DEPO;UNI;4,00;5,99
222942;212-1557R-A;GUIÑADOR LATERAL TOY CORONA 90/91 AT181;TW;DEPO;UNI;65,00;4,85
222943;212-1557L-A;GUIÑADOR LATERAL TOY CORONA 90/91 AT181;TW;DEPO;UNI;65,00;4,85
222947;212-1567R-A;GUIÑADOR LATERAL TOY CORONA/CALDINA 92 ADELAN;TW;DEPO;UNI;15,00;4,80
222948;212-1567L-A;GUIÑADOR LATERAL TOY CORONA/CALDINA 92 ADELAN;TW;DEPO;UNI;15,00;4,80
232815;212-1580-L-KO;GUIÑADOR LATERAL TOY CORONA/CALDINA 92 KO;KO;S/M;UNI;1,00;3,45
226086;212-1594L-A;GUIÑADOR LATERAL TOY DYNA 95 YL110/211 BU102/120 BLANCO;TW;DEPO;UNI;15,00;5,50
222953;212-1623L;GUIÑADOR LATERAL TOY DYNA BLANCO/NARANJA;TW;DEPO;UNI;24,00;2,57
222954;212-1623R;GUIÑADOR LATERAL TOY DYNA BLANCO/NARANJA;TW;DEPO;UNI;24,00;2,57
222966;212-1613-2R;GUIÑADOR LATERAL TOY HILUX 84/87 NEGRO;TW;DEPO;UNI;3,00;1,66
222968;212-1552L-6A;GUIÑADOR LATERAL TOY HILUX 88/91 BLACK;TW;DEPO;UNI;4,00;3,59
226062;212-15D1L-A-1;GUIÑADOR LATERAL TOY HILUX 98/2002 CRISTAL PLOMO;TW;DEPO;UNI;10,00;6,00
226063;212-15D1R-A-1;GUIÑADOR LATERAL TOY HILUX 98/2002 CRISTAL PLOMO;TW;DEPO;UNI;10,00;6,00
226076;212-1566L-1A;GUIÑADOR LATERAL TOY KIJANG 92 ZACE/VAG BDE C;TW;DEPO;UNI;27,00;4,96
226078;212-1566R-1A;GUIÑADOR LATERAL TOY KIJANG 92 ZACE/VAG BDE C;TW;DEPO;UNI;28,00;4,96
226077;212-1566L-6A;GUIÑADOR LATERAL TOY KIJANG 92 ZACE/VAG BDE N;TW;DEPO;UNI;28,00;4,46
226079;212-1566R-6A;GUIÑADOR LATERAL TOY KIJANG 92 ZACE/VAG BDE N;TW;DEPO;UNI;27,00;4,46
226065;212-15G6R-AE1;GUIÑADOR LATERAL TOY LAND CRUISER 2003/5/6 CROME;TW;DEPO;UNI;99,00;15,50
222985;212-1509R-1;GUIÑADOR LATERAL TOY LAND CRUISER 84/87;TW;DEPO;UNI;41,00;4,80
222986;212-1509L-1;GUIÑADOR LATERAL TOY LAND CRUISER 84/87;TW;DEPO;UNI;30,00;4,80
222987;212-1509R-2;GUIÑADOR LATERAL TOY LAND CRUISER 84/87 BLAC;TW;DEPO;UNI;49,00;3,70
222988;212-1509L-2;GUIÑADOR LATERAL TOY LAND CRUISER 84/87 BLAC;TW;DEPO;UNI;55,00;3,70
226064;212-15G6L-AE1;GUIÑADOR LATERAL TOY LAND CRUSSIER 2003/5/6 CROME;TW;DEPO;UNI;100,00;15,50
232865;212-1568-L-A-KO;GUIÑADOR LATERAL TOY LITE ACE 92/95 CR227 3Y/;KO;S/M;UNI;30,00;3,65
232866;212-1568-R-A-KO;GUIÑADOR LATERAL TOY LITE ACE 92/95 CR227 3Y/;KO;S/M;UNI;29,00;3,65
226074;212-1519L-A;GUIÑADOR LATERAL TOY LITE HIACE 80/85/89 KM39;TW;DEPO;UNI;18,00;5,55
226075;212-1519R-A;GUIÑADOR LATERAL TOY LITE HIACE 80/85/89 KM39;TW;DEPO;UNI;17,00;5,55
142815;212-15Y007-L;GUIÑADOR LATERAL TOY NADIA SXN10 98 KO;KO;S/M;UNI;56,00;5,20
142816;212-15Y007-R;GUIÑADOR LATERAL TOY NADIA SXN10 98 KO;KO;S/M;UNI;56,00;5,20
223125;212-15F4-L-AE;GUIÑADOR LATERAL TOY PRADO CRISTAL FJ90/2000;TW;DEPO;UNI;20,00;12,18
223126;212-15F4-R-AE;GUIÑADOR LATERAL TOY PRADO CRISTAL FJ90/2000;TW;DEPO;UNI;20,00;12,18
222993;212-1539R-6;GUIÑADOR LATERAL TOY RUNNER 88/91 BLACK;TW;DEPO;UNI;15,00;3,03
222994;212-1539L-6;GUIÑADOR LATERAL TOY RUNNER 88/91 BLACK;TW;DEPO;UNI;15,00;3,03
222995;212-1539R-1X;GUIÑADOR LATERAL TOY RUNNER 88/91 CROME;TW;DEPO;UNI;14,00;3,15
222996;212-1539L-1X;GUIÑADOR LATERAL TOY RUNNER 88/91 CROME;TW;DEPO;UNI;15,00;3,15
142805;212-15Y002-L;GUIÑADOR LATERAL TOY SPACIO 98/00 YOI;KO;S/M;UNI;1.323,00;4,19
142806;212-15Y002-R;GUIÑADOR LATERAL TOY SPACIO 98/00 YOI;KO;S/M;UNI;1.267,00;4,19
223001;212-1560R-A;GUIÑADOR LATERAL TOY SPRINTER 88/90;TW;DEPO;UNI;19,00;10,30
223002;212-1560L-A;GUIÑADOR LATERAL TOY SPRINTER 88/90;TW;DEPO;UNI;20,00;10,30
232869;212-1560-L-KO;GUIÑADOR LATERAL TOY SPRINTER 90/91 LARGO KO;KO;S/M;UNI;9,00;3,25
232870;212-1560-R-KO;GUIÑADOR LATERAL TOY SPRINTER 90/91 LARGO KO;KO;S/M;UNI;7,00;3,25
229182;212-1586L-AE;GUIÑADOR LATERAL TOY STARLET 92/93;TW;DEPO;UNI;17,00;7,45
229183;212-1586R-AE;GUIÑADOR LATERAL TOY STARLET 92/93;TW;DEPO;UNI;17,00;7,45
226028;212-15A1L-AE;GUIÑADOR LATERAL TOY STARLET 96/98 NARANJA;TW;DEPO;UNI;7,00;12,20
226029;212-15A1R-AE;GUIÑADOR LATERAL TOY STARLET 96/98 NARANJA;TW;DEPO;UNI;1,00;12,35
229016;312-1541L-AS;GUIÑADOR LATERAL TOY TUNDRA 2000 C/NARANJA;TW;DEPO;UNI;32,00;12,20
229017;312-1541R-AS;GUIÑADOR LATERAL TOY TUNDRA 2000 C/NARANJA;TW;DEPO;UNI;21,00;12,20
232809;212-1524-L-KO;GUIÑADOR LATERAL TOY/COROLLA 88/90 KO;KO;S/M;UNI;25,00;2,90
232810;212-1524-R-KO;GUIÑADOR LATERAL TOY/COROLLA 88/90 KO;KO;S/M;UNI;46,00;2,90
226118;773-1504L-UE;GUIÑADOR LATERAL VOLVO 760/940/960 92/97 BLAN;TW;DEPO;UNI;11,00;7,75
226119;773-1504R-UE;GUIÑADOR LATERAL VOLVO 760/940/960 92/97 BLAN;TW;DEPO;UNI;10,00;7,75
226215;216-1551L-AE;GUIÑADOR MAZDA BONGO E SERIES VAN 99;TW;DEPO;UNI;75,00;18,00
226216;216-1551R-AE;GUIÑADOR MAZDA BONGO E SERIES VAN 99;TW;DEPO;UNI;74,00;18,00
226186;215-1665R-A;GUIÑADOR PARACHOQUE CONDOR PKC212 /PK250 95/9;TW;DEPO;UNI;5,00;9,09
226185;215-1665L-A;GUIÑADOR PARACHOQUE CONDOR PKC212/PK250 95/98;TW;DEPO;UNI;5,00;9,09
226014;213-1609L-X;GUIÑADOR PARACHOQUE ISUZU LUV 83/89 NARANJA;TW;DEPO;UNI;10,00;1,90
226015;213-1609R-X;GUIÑADOR PARACHOQUE ISUZU LUV 83/89 NARANJA;TW;DEPO;UNI;10,00;1,90
223133;213-1619L-AE;GUIÑADOR PARACHOQUE ISUZU LUV 99 TFR NARAN;TW;DEPO;UNI;10,00;1,92
223135;213-1619R-AE;GUIÑADOR PARACHOQUE ISUZU LUV 99 TFR NARANJA;TW;DEPO;UNI;10,00;1,92
223199;314-1609L-AS;GUIÑADOR PARACHOQUE MITSUBISHI GALANT 85/87;TW;DEPO;UNI;15,00;3,70
223155;315-1609L-AS;GUIÑADOR PARACHOQUE NISSAN PATHFINDER 96;TW;DEPO;UNI;31,00;4,00
223156;315-1609R-AS;GUIÑADOR PARACHOQUE NISSAN PATHFINDER 96;TW;DEPO;UNI;13,00;4,00
229186;215-1659R-YA;GUIÑADOR PARACHOQUE NISSAN SERENA C23 92 NARA;TW;DEPO;UNI;9,00;11,00
229185;215-1659L-YA;GUIÑADOR PARACHOQUE NISSAN SERENA C23 92 NARANJA;TW;DEPO;UNI;10,00;11,00
229187;215-1660L-YU;GUIÑADOR PARACHOQUE NISSAN SERENA C23 94 NARA;TW;DEPO;UNI;47,00;10,80
229188;215-1660R-YU;GUIÑADOR PARACHOQUE NISSAN SERENA C23 94 NARA;TW;DEPO;UNI;46,00;10,80
223058;215-1603R;GUIÑADOR PARACHOQUE NISSAN URVAN E23 81/87;TW;DEPO;UNI;20,00;1,40
232851;212-1647-L-KO;GUIÑADOR PARACHOQUE TOY COROLLA 88/90 KO;KO;S/M;UNI;10,00;2,25
232825;212-1654-L-KO-LL;GUIÑADOR PARACHOQUE TOY COROLLA 92 LL;KO;S/M;UNI;12,00;1,70
223025;212-1654L-AE;GUIÑADOR PARACHOQUE TOY COROLLA 92-94;TW;DEPO;UNI;100,00;2,70
223026;212-1654R-AE;GUIÑADOR PARACHOQUE TOY COROLLA 92-94;TW;DEPO;UNI;100,00;2,70
223029;212-1661R-AE;GUIÑADOR PARACHOQUE TOY COROLLA 93/85;TW;DEPO;UNI;100,00;3,20
223030;212-1661L-AE;GUIÑADOR PARACHOQUE TOY COROLLA 93/85;TW;DEPO;UNI;100,00;3,20
232876;212-1661-C-L-KO;GUIÑADOR PARACHOQUE TOY COROLLA 93/95 CRISTAL KO;KO;S/M;UNI;110,00;2,50
232877;212-1661-C-R-KO;GUIÑADOR PARACHOQUE TOY COROLLA 93/95 CRISTAL KO;KO;S/M;UNI;110,00;2,50
233210;212-2022-L-KO;GUIÑADOR PARACHOQUE TOY COROLLA ALEX 01 KO;KO;S/M;UNI;15,00;10,50
233211;212-2022-R-KO;GUIÑADOR PARACHOQUE TOY COROLLA ALEX 01 KO;KO;S/M;UNI;15,00;10,50
229059;212-2021L-U-Y;GUIÑADOR PARACHOQUE TOY DYNA 04/05 HALOGENO;TW;DEPO;UNI;6,00;16,92
229060;212-2021R-U-Y;GUIÑADOR PARACHOQUE TOY DYNA 04/05 HALOGENO;TW;DEPO;UNI;5,00;16,92
226012;212-1678L-U;GUIÑADOR PARACHOQUE TOY HIACE 93/94 NARANJA;TW;DEPO;UNI;65,00;11,80
226013;212-1678R-U;GUIÑADOR PARACHOQUE TOY HIACE 93/94 NARANJA;TW;DEPO;UNI;65,00;11,80
232855;212-1678-Y-L-KO;GUIÑADOR PARACHOQUE TOY HIACE 93/94 NARANJA KO;KO;S/M;UNI;40,00;5,50
232856;212-1678-Y-R-KO;GUIÑADOR PARACHOQUE TOY HIACE 93/94 NARANJA KO;KO;S/M;UNI;20,00;5,50
223169;212-1638PXA-C;GUIÑADOR PARACHOQUE TOY HILUX 89 TUNING GRIS;TW;DEPO;SET;5,00;5,35
142823;212-15Y011-L;GUIÑADOR PARACHOQUE TOY NOAH 00/02 KO;KO;S/M;UNI;16,00;8,20
142824;212-15Y011-R;GUIÑADOR PARACHOQUE TOY NOAH 00/02 KO;KO;S/M;UNI;10,00;8,20
229061;312-1635L-US;GUIÑADOR PARACHOQUE TOY RAV4 98/00 BLANCO/NARANJA;TW;DEPO;UNI;8,00;13,99
229062;312-1635R-US;GUIÑADOR PARACHOQUE TOY RAV4 98/00 BLANCO/NARANJA;TW;DEPO;UNI;8,00;13,99
226124;212-1682L-AE;GUIÑADOR PARACHOQUE TOY RAV4 98/00 CRISTAL;TW;DEPO;UNI;16,00;15,99
226125;212-1682R-AE;GUIÑADOR PARACHOQUE TOY RAV4 98/00 CRISTAL;TW;DEPO;UNI;14,00;15,99
229184;212-1660-P-1CA;GUIÑADOR PARACHOQUE TOY RUNNER/HILUX 90/95 TU;TW;DEPO;SET;29,50;13,45
325842;VF0152C;HALOGENO NIQUELADO GRANDE BLANCO;TW;DENNY;UNI;219,00;3,85
325847;VF0151C;HALOGENO NIQUELADO MEDIANO BLANCO C/100W;TW;S/M;UNI;224,00;3,85
232482;HLL02-1745-L;HALOGENO NISS. E25 06/12 KO;KO;S/M;UNI;144,00;13,00
232483;HLL02-1745-R;HALOGENO NISS. E25 06/12 KO;KO;S/M;UNI;143,00;13,00
227127;315-2016L-UQ;HALOGENO NISS. PATHFINDER 2004/05,FRONTIER,NAVARA 2005/06;TW;DEPO;PCS;12,00;25,50
227128;315-2016R-UQ;HALOGENO NISS. PATHFINDER 2004/05,FRONTIER,NAVARA 2005/06;TW;DEPO;PCS;12,00;25,50
232484;212-2025P-AE-L-KO;HALOGENO TOY HIACE YH 99 KO CRISTAL;KO;S/M;UNI;5,00;8,20
232485;212-2025P-AE-R-KO;HALOGENO TOY HIACE YH 99 KO CRISTAL;KO;S/M;UNI;5,00;8,20
221883;212-2084P-AE;HALOGENO TOY.HILUX VIGO 2012.;TW;DEPO;SET;4,00;45,00
221473;773-2014L-UE;HALOGENO VOLVO FH12 98-2002 - 93;TW;DEPO;UNI;4,00;22,30
221474;773-2014R-UE;HALOGENO VOLVO FH12 98-2002 - 93;TW;DEPO;UNI;8,00;22,30
223284;HLL01-2839-R;JALADOR DE PUERTA EXTERIOR TOY HIACE 90 KO;KO;S/M;UNI;125,00;2,40
223286;HLL01-2833-R;JALADOR DE PUERTA INTERIOR TOY HIACE 90 KO;KO;S/M;UNI;25,00;2,40
223207;69210-12110-R;JALADOR EXT DELANTERO TOY COROLLA 90;TW;NAK;UNI;99,00;3,74
223278;69240-16050;JALADOR EXT TRAS LH TOY TERCEL 98 STARLET;TW;NAK;UNI;530,00;5,20
223276;69230-16050;JALADOR EXT TRAS RH TOY TERCEL 98 STARTEL;TW;NAK;UNI;533,00;5,20
223275;69220-16070;JALADOR EXT. DEL. LH TOY TERCEL 98 STARLET;TW;NAK;UNI;397,00;5,00
223279;HU-TY3184A-FR;JALADOR EXT. DEL. RH TOY TERCEL 95/98 STARLET;TW;NAK;UNI;119,00;1,60
223277;69210-16070;JALADOR EXT. TRAS. RH TOY TERCEL 98 STARLET;TW;NAK;UNI;520,00;5,20
223281;HU-TY3184A-RR;JALADOR EXTERIOR TRAS/RH TOY TERCEL 95/98 STA;TW;NAK;UNI;37,00;1,45
123216;TO-1-1020;JUNTA HOMOCINETICA TERCEL/CORSA EL51/EL53 90/;KO;YOI;UNI;27,00;12,50
123221;TO-1-1011-ABS;JUNTA HOMOCINETICA TOY AE100 92/AE92 C/ABS 26;KO;YOI;UNI;1,00;11,90
226385;00-212-1613-L;LENTE GUIÑADOR LATERAL;TW;DEPO;UNI;70,00;0,58
226386;00-212-1613-R;LENTE GUIÑADOR LATERAL;TW;DEPO;UNI;49,00;0,58
226302;00-214-1507L;LENTE GUIÑADOR LATERAL MITSUBISHI PAJERO 83/9;TW;DEPO;UNI;19,00;1,05
226306;00-212-1611-R;LENTE GUIÑADOR LATERAL TOY AE80;TW;DEPO;UNI;14,00;0,65
