;CODIGO;D E T A L L E ;Recuento;;;;;;
;33-07107-R;Espejo NISSAN AVENIR;0;;;;;Espejo SUNNY SENTRA B13 Manual Mod. 91- 94 LH;2
828;33-07803-L;Espejo NISSAN AVENIR;0;;;;;ESPEJO SUZUKI ALTO 2011;2
231;4675-L;Espejo NISSAN B14 ELECTRICO;0;;;;;Espejo suzuki swift sport 2017LED;2
232;4675-R;Espejo NISSAN B14 ELECTRICO;0;;;;;Espejo TOWN ACE MOD 87 212-1568;0
229;4675-E-L;Espejo Nissan b14 Largo Eléctrico 3 pines  ;1;;;;;Espejo TOYOTA CALDINA GT;2
230;4675-E-R;Espejo Nissan b14 Largo Eléctrico 3 pines  ;1;;;;;Espejo TOYOTA CAMRY 1992;0
273;4696-R;Espejo NISSAN B14 MANUAL;1;;;;;Espejo TOYOTA CAMRY 88;0
;47-212-1142-L-K;Espejo NISSAN B14 MANUAL;0;;;;;Espejo Toyota Camry 92 ;1
500;10-64-L;Espejo NISSAN B15 PLOMO PATA LARGA;1;;;;;Espejo TOYOTA CELICA 90;0
383;10-66-R;Espejo NISSAN B15 PLOMO PATA LARGA;1;;;;;Espejo TOYOTA CELICA 98;0
321;8278-L;Espejo NISSAN BLUEBIRTH 91-95;0;;;;;Espejo TOYOTA COROLLA 90 MANUAL;1
1190;870006-G;Espejo NISSAN BONGO;0;;;;;Espejo TOYOTA COROLLA FX;0
224;N36-L;Espejo NISSAN CHAPULIN;0;;;;;Espejo TOYOTA CORONA 93;0
156;400-L;Espejo NISSAN CUSTOM ;1;;;;;Espejo TOYOTA CORSA 90;0
975;BF-CALDINA-L;Espejo Nissan e25 brazo cromado ;0;;;;;Espejo TOYOTA CORSA 96;0
284;4453-L;Espejo NISSAN LARGO 97 ;0;;;;;Espejo TOYOTA CROWN;2
285;4453-R;Espejo NISSAN LARGO 97 ;0;;;;;Espejo TOYOTA EP71;0
701;836-L;Espejo NISSAN MARCH 2004;1;;;;;ESPEJO TOYOTA HILUX VIGO ELÉCTRICO ;0
702;836-R;Espejo NISSAN MARCH 2004 ;1;;;;;Espejo TOYOTA IPSUM;0
589;62022-0M001;Espejo NISSAN MARCH K11 ELECTRICO;0;;;;;Espejo TOYOTA IPSUM ELÉCTRICO ;4
596;6202238N00;Espejo NISSAN MARCH K11 ELECTRICO;0;;;;;Espejo Toyota Ipsum NEGRO;0
157;400-R;Espejo NISSAN MARCH K11 MANUAL;0;;;;;Espejo TOYOTA IPSUM NEGRO CORTO ;0
532;3568-C-R;Espejo NISSAN PRESSEA 97;0;;;;;Espejo Toyota Levin 92 ;0
;023209-L;Espejo NISSAN PULSAR 95 /BLUBIRD;0;;;;;Espejo TOYOTA LEVIN 95;1
;023209-R;Espejo NISSAN PULSAR 95 /BLUBIRD;0;;;;;Espejo TOYOTA LEVIN TRUNO 90;1
324;8278-R;Espejo Nissan Pulsar eléctrico 3 pines ;0;;;;;Espejo TOYOTA LITE ACE CR40 97/2000;1
248;3981-R;Espejo NISSAN SERENA ;0;;;;;Espejo TOYOTA LOBO YT7013 ELECTRICO;1
215;464-R;Espejo NISSAN SKYLINE R33;0;;;;;Espejo TOYOTA MARCK 98;0
;4675-2-L;Espejo NISSAN SKYLINE R33;0;;;;;Espejo TOYOTA MARINO 4280;1
502;10-83-L;Espejo NISSAN SUNNY B12;1;;;;;Espejo Toyota Mark 2 ;0
1020;20-207-R;Espejo NISSAN URBAN E23;0;;;;;Espejo TOYOTA RAV 4 MOD 99;0
341;7524-R;Espejo PROBOX 98 BASE GRANDE;1;;;;;Espejo TOYOTA REFLEX;1
1015;75831-20320;Espejo PROBOX 98 BASE GRANDE;1;;;;;Espejo TOYOTA SPACIO NEGRO ELECTRICO;0
;48655-20220-Y;Espejo RAV4 96;1;;;;;Espejo TOYOTA SPRINTER   MANUAL ;1
282;48692-L;Espejo RAV4 96;1;;;;;Espejo TOYOTA SPRINTER ELECTRICO 3 PINES ;2
1200;13-42-L;Espejo REDONDO UNIVERSAL PEQUEÑO;0;;;;;Espejo TOYOTA SUPER CRAWN;0
184;8102-L;Espejo RESTROVISOR TOYOTA HIACE 2008 BRAZO;0;;;;;Espejo Toyota Varios;0
821;53-07601-L;Espejo RETROVISOR HILUX SURF 99;1;;;;;Espejo TOYOTA VITZ ELECTRICO;0
211;3686-C-L;Espejo RETROVISOR NISSAN AD 90;1;;;;;Espejo TOYOTA VITZ MANUAL;0
212;3686-C-R;Espejo RETROVISOR NISSAN AD 90;0;;;;;Espejo URVAN E25 CON BRAZO;0
;23300-75020;Espejo STARLET;1;;;;;Espejo VARIOS ( Derecho );0
;5069-R;Espejo SUBARU DOMINGO;1;;;;;Espejo VARIOS ( Isquierdo );0
263;5092-L;Espejo Subaru Impreza ;0;;;;;Espiral probox;2
264;5092-R;Espejo Subaru Impreza ;0;;;;;Estabilizador DE IPSUM L;19
965;5127-L;Espejo SUBARU IMPREZA 2000;0;;;;;Estabilizador DE IPSUM R;17
423;5183-L;Espejo SUBARU IMPREZA 2001;0;;;;;Estabilizador DELANTERO DE COROOLA ;8
;YT7097-YY-L;Espejo SUNNY SENTRA B13 Manual Mod. 91- 94 LH;1;;;;;ESTABILIZADOR HILUX SURF;2
;YT7097-YY-R;Espejo SUNNY SENTRA B13 Manual Mod. 91- 94 LH;1;;;;;Estabilizador HILUX VIGO R;0
;YT7286-L;ESPEJO SUZUKI ALTO 2011;1;;;;;Estabilizador HILUX VIGO TRASERO  L;0
;YT7286-R;ESPEJO SUZUKI ALTO 2011;1;;;;;Estabilizador RAV4 97-2004;4
670;043-1563-L;Espejo suzuki swift sport 2017LED;1;;;;;Estabilizador XTRAIL UNIVERSAL;1
1030;043-1566-L;Espejo suzuki swift sport 2017LED;1;;;;;Estuche de HERRAMIENTA SUBARU ;0
803;20-161-R;Espejo TOWN ACE MOD 87 212-1568;0;;;;;Estuche de HERRAMIENTA TOYOTA;0
;312-1141-R;Espejo TOWN ACE MOD 87 212-1568;0;;;;;Estuché de herramientas DAIHATSU azul  ;0
292;5862-L;Espejo TOYOTA CALDINA GT;1;;;;;Estuché de herramientas Mitsubishi Negro  ;0
293;5862-R;Espejo TOYOTA CALDINA GT;1;;;;;Estuche MOCHILA SCOOTER;0
236;8222-R;Espejo TOYOTA CAMRY 1992;0;;;;;Farol  HILUX REVO Mod. 2015~2016~2017~2018 HB3/WY21W/LED;1
;8247-R;Espejo TOYOTA CAMRY 1992;0;;;;;Farol -SUZUKI CULTUS 218-1106;0
559;62310-38N00;Espejo TOYOTA CAMRY 88;0;;;;;Farol AE86;0
560;62310-38N10;Espejo TOYOTA CAMRY 88;0;;;;;Farol AGYA WIGO Mod. 2017~2018~2019~2020~2021~2022;0
;VZV-32-L;Espejo Toyota Camry 92 ;1;;;;;Farol ASX Mod. 2011~2012~2013~2014;1
1073;3353-R;Espejo TOYOTA CELICA 90;0;;;;;Farol BT50 mazda 2017-2020;1
;47-212-1142-R;Espejo TOYOTA CELICA 98;0;;;;;Farol CHARIOT GRANDIS;2
515;35-43-L;Espejo TOYOTA COROLLA 90 MANUAL;1;;;;;Farol COROLLA 90 CON Guiñador;0
204;E-PT-VAR;Espejo TOYOTA COROLLA FX;0;;;;;Farol COROLLA Mod. 88~91;0
;4779-R;Espejo TOYOTA CORONA 93;0;;;;;Farol COROLLA Mod.97~98~99~2000     AE101 ;2
255;3803-R;Espejo TOYOTA CORSA 90;0;;;;;Farol CORONA Mod. 84~85~  AT150 AUTO;0
841;4886-R;Espejo TOYOTA CORSA 96;0;;;;;Farol CRESSIDA Mod. 88~89~90~91~92;0
259;4572-L;Espejo TOYOTA CROWN;1;;;;;Farol CUADRADO UNIVERSAL CON SOPORTE;0
260;4572-R;Espejo TOYOTA CROWN;1;;;;;Farol DELICA MITSUBISHI;2
489;20-197-L;Espejo TOYOTA EP71;0;;;;;Farol DODGE PLYMOUNT VOYAGER Mod. 96~97~98~99~2000~;2
;TY8022-L;ESPEJO TOYOTA HILUX VIGO ELÉCTRICO ;0;;;;;FAROL DUSTER;1
;60-1336-R;Espejo TOYOTA IPSUM;0;;;;;Farol Fiat UNO Mod.2010~2011~2012~2013~2014~2015~2016~ NEGRO;2
;551-1186-L;Espejo TOYOTA IPSUM ELÉCTRICO ;2;;;;;Farol FORD MUSTANG SHELBY GT500 Mod.2014~2015~2016~2017~;1
;551-1186-R;Espejo TOYOTA IPSUM ELÉCTRICO ;2;;;;;Farol FORESTER 97;0
295;5483-R;Espejo Toyota Ipsum NEGRO;0;;;;;Farol GALAND Mod. 89~93;1
;60-1336-L;Espejo TOYOTA IPSUM NEGRO CORTO ;0;;;;;Farol GOLD POINTER VOYAGE SAVEIRO CROSSFOX 13~14~15~16 Manual Negro;1
1128;5646-R;Espejo Toyota Levin 92 ;0;;;;;Farol GRAN VITARA 218-1135;1
1127;5646-L;Espejo TOYOTA LEVIN 95;1;;;;;Farol HILUX RUNNER SURF 4WD Mod 92~93~94~95;1
;561327-R;Espejo TOYOTA LEVIN TRUNO 90;1;;;;;Farol HONDA CIVIC Mod. 2016~2017~2018 HATCHBACK COUPE SEDAN;1
297;561327-L;Espejo TOYOTA LITE ACE CR40 97/2000;1;;;;;Farol HONDA CIVIC Mod.92 3D-4D K600 BALLADE;0
1116;3382-L;Espejo TOYOTA LOBO YT7013 ELECTRICO;1;;;;;Farol HONDA EF;1
1117;3382-R;Espejo TOYOTA LOBO YT7013 ELECTRICO;0;;;;;Farol HYUNDAI ACCENT     Mod. 96~;1
679;31-11301-L;Espejo TOYOTA MARCK 98;0;;;;;Farol HYUNDAI ACCENT SOLARIS Mod. 2011~2012~2014;0
680;31-11301-R;Espejo TOYOTA MARCK 98;0;;;;;Farol HYUNDAI H1 STAREX 2008~09~10~11~12~13~14~15~16~2017;1
307;G-30-L;Espejo TOYOTA MARCK 98;0;;;;;Farol HYUNDAI i10 GRAND i10 Mod. 2011~2012~;1
308;G-30-R;Espejo TOYOTA MARCK 98;0;;;;;Farol HYUNDAI i10 GRAND i10 Mod. 2013~2014~2015~2016;0
1026;4287-L;Espejo TOYOTA MARINO 4280;1;;;;;Farol i10 GRAND i10 Mod. 2011~2012;0
507;1688-R;Espejo Toyota Mark 2 ;0;;;;;Farol JEEP GRAN CHEROKEE Mod. 2005~2006~2007;1
300;5589-R;Espejo TOYOTA RAV 4 MOD 99;0;;;;;Farol JEEP RENEGADE Mod. 2015~2016~2017~201;1
299;561326-R;Espejo TOYOTA RAV 4 MOD 99;0;;;;;Farol KIA SPORTAGE Mod.97~98~99~2000~2001~2002;0
243;547483-E-R;Espejo TOYOTA REFLEX;1;;;;;Farol LANCER Mod. 2000~2001~2002;0
294;5483-L;Espejo TOYOTA SPACIO NEGRO ELECTRICO;0;;;;;Farol LANCER Mod. 93~94~95~96;2
247;4280-L;Espejo TOYOTA SPRINTER   MANUAL ;1;;;;;Farol LANCER Negro Mod. 93~94~95~96;1
303;4230-L;Espejo TOYOTA SPRINTER ELECTRICO 3 PINES ;2;;;;;Farol LANCER Negro Mod. 98~99~2000~2001 CK5;0
313;5430-L;Espejo TOYOTA SUPER CRAWN;0;;;;;Farol LEVIN 90;0
271;547139-L;Espejo TOYOTA SUPER CRAWN;0;;;;;Farol mazda;2
;G-35-L;Espejo Toyota Varios;0;;;;;FAROL MAZDA BONGO SGL5 95;0
;G-35-R;Espejo Toyota Varios;0;;;;;Farol MAZDA PICK UP BT-50 Mod.2015~2016~2017;0
244;8289-L;Espejo TOYOTA VITZ ELECTRICO;0;;;;;FAROL MAZDA PREMACY ;0
246;8289-R;Espejo TOYOTA VITZ ELECTRICO;0;;;;;FAROL MITSUBISHI COLT 87 lancer 89;1
705;7110-L;Espejo TOYOTA VITZ MANUAL;0;;;;;Farol Mitsubishi ECLIPSE Mod. 2000~2001~2002;0
706;7110-R;Espejo TOYOTA VITZ MANUAL;0;;;;;FAROL MITSUBISHI ECLIPSE SPYDER OJO DE ÁNGEL ;1
976;BF-CALDINA-R;Espejo URVAN E25 CON BRAZO;0;;;;;Farol MITSUBISHI GALANT;0
;EH-MITSUBISHI ;Espejo VARIOS ( Derecho );0;;;;;FAROL MITSUBISHI LANCER 95;0
;EH-DAIHATSU ;Espejo VARIOS ( Isquierdo );0;;;;;FAROL MITSUBISHI MIRAGE ;0
;F-A-IMPREZA-L;Espiral probox;2;;;;;FAROL MITSUBISHI MONTERO CRISTALIZADO ;2
13;860037;Estabilizador DE IPSUM L;19;;;;;FAROL MITSUBISHI Pajero montero 92;1
14;860039;Estabilizador DE IPSUM R;17;;;;;FAROL MITSUBISHI Pajero montero 93;1
12;860036;Estabilizador DELANTERO DE COROOLA ;8;;;;;Farol MONTERO TIBURON 2000~2001~2002~2003~2004~2005~2006;0
;860156;ESTABILIZADOR HILUX SURF;2;;;;;Farol nissan;1
;860300;Estabilizador HILUX VIGO R;0;;;;;Farol NISSAN B13 215-1134 vidrio;0
;860311;Estabilizador HILUX VIGO TRASERO  L;0;;;;;Farol NISSAN B13 215-1154 Plastico;2
;860153;Estabilizador RAV4 97-2004;4;;;;;FAROL NISSAN PHATDINDER ;0
17;860043;Estabilizador XTRAIL UNIVERSAL;1;;;;;FAROL NISSAN SUNNY 2005;0
;EM-FORESTER-C;Estuche de HERRAMIENTA SUBARU ;0;;;;;FAROL NISSAN SUNNY B12;1
1080;EM-FORESTER-F;Estuche de HERRAMIENTA TOYOTA;0;;;;;Farol NISSAN SUNNY b12 ;1
926;EH-SUBARU;Estuché de herramientas DAIHATSU azul  ;0;;;;;Farol Nissan SUNNY B12 Mod.88~89~90 SENTRA;1
934;EH-TOYOTA;Estuché de herramientas Mitsubishi Negro  ;0;;;;;Farol NISSSAN CUSTUM;2
869;SCOOTER-MO;Estuche MOCHILA SCOOTER;0;;;;;Farol Renault CAPTUR Mod. 2013~2014~2015~2016~2017~      Electrico;1
;212-1524-R;Farol  HILUX REVO Mod. 2015~2016~2017~2018 HB3/WY21W/LED;1;;;;;Farol Renault DUSTER  Mod. 2003~2004~2005~2006~2007 (F. Negro);2
39;100-1120-L;Farol -SUZUKI CULTUS 218-1106;0;;;;;Farol Renault DUSTER  Mod.2013~2014~2015~2016~;0
;F-MICHELIN;Farol AE86;0;;;;;Farol Renault KWID Mod.2017~2018~2019~2020;0
;212-1539-6-L;Farol AGYA WIGO Mod. 2017~2018~2019~2020~2021~2022;0;;;;;FAROL SENTRA;0
;214-1529PXA-VYU-R;Farol ASX Mod. 2011~2012~2013~2014;0;;;;;Farol SRALET EP82;0
;214-1530-L';Farol ASX Mod. 2011~2012~2013~2014;1;;;;;Farol SRALET EP82 GT 212-1152;1
1131;121221;Farol BT50 mazda 2017-2020;1;;;;;Farol STARLET EP82;0
;217-1516-L;Farol BT50 mazda 2017-2020;0;;;;;Farol STARLET EP82 GT 212-1152;1
195;11003-R;Farol CHARIOT GRANDIS;1;;;;;Farol SUBARU DOMINGO;0
668;1121-L;Farol CHARIOT GRANDIS;1;;;;;Farol Subaru FORESTER  Mod. 98~2005   USA;2
1064;18-1800-R;Farol COROLLA 90 CON Guiñador;0;;;;;Farol SUBARU IMPREZA;1
158;19027-L;Farol COROLLA 90 CON Guiñador;0;;;;;Farol SUBARU IMPREZA 4D~5D Mod. 97~99;1
;212-1193-R-K;Farol COROLLA Mod. 88~91;0;;;;;Farol SUCCED;0
;212-11AK-L;Farol COROLLA Mod. 88~91;0;;;;;Farol SUCCED ;0
;212-1520-C-R;Farol COROLLA Mod.97~98~99~2000     AE101 ;1;;;;;Farol suelto universal p/foco cambiable H4 (tipo wagner) 2000;2
;212-1520-CY-L;Farol COROLLA Mod.97~98~99~2000     AE101 ;1;;;;;Farol suelto UNIVERSAL p/foco cambiable REDONDO CRISTAL 2000 ;2
;212-1169-R;Farol CORONA Mod. 84~85~  AT150 AUTO;0;;;;;Farol suzuki gran vitara 2015 ;2
;212-1193-L-K;Farol CORONA Mod. 84~85~  AT150 AUTO;0;;;;;FAROL SUZUKI SWIFT 2011-2016;1
;212-11CA-7-L;Farol CRESSIDA Mod. 88~89~90~91~92;0;;;;;Farol Suzuqui APV Mod.2008 ~ CARRY 2008 ~ Cristal;2
412;210-37746-R;Farol CUADRADO UNIVERSAL CON SOPORTE;0;;;;;Farol Suzuqui GRAND VITARA XL7 Mod.2005~2006~2007~2008;1
824;26-15-L;Farol CUADRADO UNIVERSAL CON SOPORTE;0;;;;;Farol Suzuqui NEW VITARA Mod. 2015~2016~2017;1
;1159-R;Farol DELICA MITSUBISHI;1;;;;;Farol Suzuqui SWIFT Mod.2017~2018~2019~2020 ECE.ELEC;2
643;1167-L;Farol DELICA MITSUBISHI;1;;;;;Farol Suzuqui VITARA;1
126;333-1172-R;Farol DODGE PLYMOUNT VOYAGER Mod. 96~97~98~99~2000~;1;;;;;Farol Suzuqui VITARA Mod. 2015~2016~2017;0
;333-1425-L;Farol DODGE PLYMOUNT VOYAGER Mod. 96~97~98~99~2000~;1;;;;;FAROL TOYORA. ALDINA ORIGINAL ;0
;TYC-DUSTER-L;FAROL DUSTER;1;;;;;Farol Toyota  COROLLA 90 CRISTALIZADO;0
322;6658-L;Farol Fiat UNO Mod.2010~2011~2012~2013~2014~2015~2016~ NEGRO;1;;;;;Farol Toyota  Spacio;0
323;6658-R;Farol Fiat UNO Mod.2010~2011~2012~2013~2014~2015~2016~ NEGRO;1;;;;;Farol Toyota 4RUNNER Mod.2005~2006~2007~2008~2009 Limited SR5;2
550;K30-1162-L;Farol FORD MUSTANG SHELBY GT500 Mod.2014~2015~2016~2017~;0;;;;;FAROL TOYOTA CALDINA 97 ( oreja agachada );1
551;K30-1162-R;Farol FORD MUSTANG SHELBY GT500 Mod.2014~2015~2016~2017~;1;;;;;Farol TOYOTA CALDINA GT;1
982;1644-R;Farol FORESTER 97;0;;;;;Farol TOYOTA CARIB 96;1
58;214-1148-R;Farol GALAND Mod. 89~93;1;;;;;Farol Toyota COROLLA Mod. 92-95 (Auto/vagon) Derecho;1
;441-19B5-R;Farol GOLD POINTER VOYAGE SAVEIRO CROSSFOX 13~14~15~16 Manual Negro;1;;;;;Farol TOYOTA CORONA 212-1105;0
;110-37746-R;Farol GRAN VITARA 218-1135;0;;;;;Farol TOYOTA CORONA 212-1138;0
194;11003-L;Farol GRAN VITARA 218-1135;1;;;;;Farol TOYOTA CORONA VERIFICAR BLUE BIRD 215-1145;0
;212-1508-L;Farol HILUX RUNNER SURF 4WD Mod 92~93~94~95;1;;;;;Farol TOYOTA CUSTOM ;0
117;317-1522-L;Farol HONDA CIVIC Mod. 2016~2017~2018 HATCHBACK COUPE SEDAN;1;;;;;Farol TOYOTA CUSTOM CON Guiñador ;2
989;2175-L;Farol HONDA CIVIC Mod.92 3D-4D K600 BALLADE;0;;;;;Farol TOYOTA CUSTOM CUADRADO;0
990;2175-R;Farol HONDA CIVIC Mod.92 3D-4D K600 BALLADE;0;;;;;Farol TOYOTA DESCONOCIDO;0
1071;016-8319-R;Farol HONDA EF;1;;;;;Farol TOYOTA FX ;0
103;221-1185-L;Farol HYUNDAI ACCENT     Mod. 96~;1;;;;;FAROL TOYOTA GAIA;0
;221-1946-L;Farol HYUNDAI ACCENT SOLARIS Mod. 2011~2012~2014;0;;;;;FAROL TOYOTA GRANVIA ;0
104;221-1185-R;Farol HYUNDAI H1 STAREX 2008~09~10~11~12~13~14~15~16~2017;1;;;;;FAROL TOYOTA HILUX REVO ;0
;221-1513-L;Farol HYUNDAI i10 GRAND i10 Mod. 2011~2012~;1;;;;;FAROL TOYOTA HILUX VIGO 2011;0
;221-1975-L;Farol HYUNDAI i10 GRAND i10 Mod. 2013~2014~2015~2016;0;;;;;Farol Toyota ipsum ;0
;221-1975-R;Farol HYUNDAI i10 GRAND i10 Mod. 2013~2014~2015~2016;0;;;;;FAROL TOYOTA RAV 4 99;1
;221-1513-R;Farol i10 GRAND i10 Mod. 2011~2012;0;;;;;Farol TOYOTA REDONDO CON SOPORTE;0
949;333-1425-R;Farol JEEP GRAN CHEROKEE Mod. 2005~2006~2007;1;;;;;Farol Toyota STARLET Mod 96~98;2
;333-1501-L;Farol JEEP GRAN CHEROKEE Mod. 2005~2006~2007;0;;;;;Farol Toyota TACOMA  Mod.2005~2006~07~08~2009~2010 USA    S/Foco;2
;AM07009HB-L;Farol JEEP RENEGADE Mod. 2015~2016~2017~201;1;;;;;Farol Toyota Varios ;0
124;323-1501-R;Farol KIA SPORTAGE Mod.97~98~99~2000~2001~2002;0;;;;;Farol Toyota. rav 4 97;2
227;3254-L;Farol KIA SPORTAGE Mod.97~98~99~2000~2001~2002;0;;;;;FAROL TOYOTASPACIO ;0
228;3254-R;Farol KIA SPORTAGE Mod.97~98~99~2000~2001~2002;0;;;;;Farol TRUENO 97;0
;33-07107-L;Farol KIA SPORTAGE Mod.97~98~99~2000~2001~2002;0;;;;;Farol VERSA Mod ~2014~2015~2016~ Auto;1
1195;214-1529-PXA-2-R;Farol LANCER Mod. 2000~2001~2002;0;;;;;Farol Volkswagen GOLD POINTER VOYAGE SAVEIRO 13~15;1
;214-1529PXA-VYU-L;Farol LANCER Mod. 2000~2001~2002;0;;;;;Farol Volkswagen GOLF IV Mod.1998~1999~2000~2001~2002;0
;214-1155-R;Farol LANCER Mod. 93~94~95~96;1;;;;;FAROL VOLKSWAGEN OJO DE ÁNGEL ;0
59;214-1159-L;Farol LANCER Mod. 93~94~95~96;1;;;;;Farol Volkswagen POINTER GOL VOYAGE Mod.2016~2017;1
60;214-1159-R;Farol LANCER Negro Mod. 93~94~95~96;0;;;;;Farol XPANDER MPV Mod. 2017~2018~2019~202;1
61;214-1163-L;Farol LANCER Negro Mod. 93~94~95~96;1;;;;;Fibra portareloj;1
;214-1515-C-L;Farol LANCER Negro Mod. 98~99~2000~2001 CK5;0;;;;;Fibra portareloj CARBON;1
66;214-1515-C-R;Farol LANCER Negro Mod. 98~99~2000~2001 CK5;0;;;;;FILTRO;2
519;12-422-L;Farol LEVIN 90;0;;;;;Filtro de ACEITE  15601-33020 -TH2825 - PH2825;0
;P02805-L;Farol mazda;1;;;;;Filtro de ACEITE  3/4 X 16 PH8-TH8A.  C-3024087;0
;P02805-R;Farol mazda;1;;;;;Filtro de ACEITE  PH-966B 3/4 X16 PH-201A.   C-3024086;0
209;02-0067-L;FAROL MAZDA BONGO SGL5 95;0;;;;;Filtro de AIRE 1RZ HIACE LOBO 17801-54140-C (+CHINOS);1
210;02-0067-R;FAROL MAZDA BONGO SGL5 95;0;;;;;Filtro de AIRE 1RZ HIACE LOBO REGIUS COMMUTER KING LONG (+CHINOS);0
;217-1516-R;Farol MAZDA PICK UP BT-50 Mod.2015~2016~2017;0;;;;;Filtro de AIRE 4A 4AG/AE100 5A COROLLA SPACIO LEVIN SPRINTER CARIB;0
77;217-1519-L;Farol MAZDA PICK UP BT-50 Mod.2015~2016~2017;0;;;;;Filtro de AIRE COROLLA Mod. 92 ~ 2002;1
;P0286-L;FAROL MAZDA PREMACY ;0;;;;;Filtro de aire NISSAN URBAN E24 CARAVAN C/P/aspa;1
;P0286-R;FAROL MAZDA PREMACY ;0;;;;;Filtro de AIRE NOAH TOWNACE TACOMA PREVIA PICKUP 4RUNNER LITEACE HILUX;0
;214-1155-L;FAROL MITSUBISHI COLT 87 lancer 89;1;;;;;Filtro de AIRE SUZUQUI 13780-79210 EMP-265;0
;314-1146-L;Farol Mitsubishi ECLIPSE Mod. 2000~2001~2002;0;;;;;Filtro TOYOTA HILUX VIGO 2KDFTV;0
;314-1503-L;Farol Mitsubishi ECLIPSE Mod. 2000~2001~2002;0;;;;;Foco Alogeno H4 de Farol SUPER WHITE AZULADO ;0
;314-1612-L;FAROL MITSUBISHI ECLIPSE SPYDER OJO DE ÁNGEL ;1;;;;;Foco CUÑA moderno de 1 contacto 12V 21W Un filamento;0
;315-1136-L;FAROL MITSUBISHI ECLIPSE SPYDER OJO DE ÁNGEL ;0;;;;;Foco CUÑA moderno de 2 contactos 12V 21/5W. #7443 T-20 Dos filamentos;0
;76801-21020;Farol MITSUBISHI GALANT;0;;;;;Foco de DOBLE Contacto 12V 21/5W FP5412 Dos filamentos Universal P/Stop;0
954;214-1199-R;FAROL MITSUBISHI LANCER 95;0;;;;;Frontal NISSAN AD 2004;0
;214-11A7-R;FAROL MITSUBISHI LANCER 95;0;;;;;Frontal SUZUKI SWIFT IMCOMPLETO IGNIS;0
;214-1530-R;FAROL MITSUBISHI MIRAGE ;0;;;;;Frontal TOYOTA CALDINA GT ;0
;214-11AN-2-L;FAROL MITSUBISHI MONTERO CRISTALIZADO ;1;;;;;Frontal TOYOTA NOHA BOXY ;0
;214-1203-R;FAROL MITSUBISHI MONTERO CRISTALIZADO ;1;;;;;Grasa PEQUEÑA;0
644;1167-R;FAROL MITSUBISHI Pajero montero 92;1;;;;;GUARDABARRO SUZUKI VITARA ;0
;1187-L;FAROL MITSUBISHI Pajero montero 93;1;;;;;Guardafango CHANCHO;0
;214-1525-L;Farol MONTERO TIBURON 2000~2001~2002~2003~2004~2005~2006;0;;;;;Guardafango DE VITARA CON BUCHERA ;0
1194;214-1529-PXA-2-L;Farol MONTERO TIBURON 2000~2001~2002~2003~2004~2005~2006;0;;;;;Guardafango MONTERO 90 ;0
1036;1311-L;Farol nissan;1;;;;;GUARDAFANGO TYG ;1
1035;1311-R;Farol NISSAN B13 215-1134 vidrio;0;;;;;"GUI;ADOR MITSUBISHI CANTER ";1
1023;16-98-R;Farol NISSAN B13 215-1154 Plastico;1;;;;;Guinador COROLLA 90 212-1524;0
;1602-L;Farol NISSAN B13 215-1154 Plastico;1;;;;;Guinador COROLLA 90 212-1647;0
;315-1504-L-Y;FAROL NISSAN PHATDINDER ;0;;;;;Guinador CORON EN PUNTA ;0
783;20-139-R;FAROL NISSAN SUNNY 2005;0;;;;;Guinador de Parachoque Suzuki Samurai;4
;20-143-L;FAROL NISSAN SUNNY 2005;0;;;;;Guinador FX ANTIGUO COROLLA 2;0
;215-1542-L;FAROL NISSAN SUNNY B12;1;;;;;Guinador LITEACE CUSTOM 212-1568-Y;1
388;12-296-L;Farol NISSAN SUNNY b12 ;1;;;;;Guinador PAJERO MONTERO 214-1531;1
;215-1528-C-L;Farol Nissan SUNNY B12 Mod.88~89~90 SENTRA;1;;;;;Guiñador  ECLIPSE;1
475;16-96-L;Farol NISSSAN CUSTUM;1;;;;;Guiñador AD 215-1561;0
476;16-96-R;Farol NISSSAN CUSTUM;1;;;;;Guiñador CALDIN GT ;1
134;551-11AK E2-R;Farol Renault CAPTUR Mod. 2013~2014~2015~2016~2017~      Electrico;1;;;;;Guiñador CALDINA GT ;0
;551-1199-L;Farol Renault DUSTER  Mod. 2003~2004~2005~2006~2007 (F. Negro);1;;;;;Guiñador CARINA AE 91;1
133;551-11AK E2-L;Farol Renault DUSTER  Mod. 2003~2004~2005~2006~2007 (F. Negro);1;;;;;Guiñador CARINA CRISTALIZADO ;0
311;5574-L;Farol Renault DUSTER  Mod.2013~2014~2015~2016~;0;;;;;Guiñador CARINA PUNTA REDONDA;1
312;5574-R;Farol Renault DUSTER  Mod.2013~2014~2015~2016~;0;;;;;Guiñador CARINA PUNTA REDONDA 212-1543;1
;551-1981-L;Farol Renault KWID Mod.2017~2018~2019~2020;0;;;;;GUIÑADOR CELICA TOYOTA ;2
;551-1981-R;Farol Renault KWID Mod.2017~2018~2019~2020;0;;;;;Guiñador CERES ;0
767;13-55-R;FAROL SENTRA;0;;;;;Guiñador CHALLENGER ;0
355;100-59083-R;Farol SRALET EP82;0;;;;;Guiñador Chevro COLORADO PICK UP GMC CANYON 2004~05~09~10~2011;1
40;100-1120-R;Farol SRALET EP82 GT 212-1152;1;;;;;GUIÑADOR CHEVROLET COLORADO;0
