;CODIGO;D E T A L L E ;Recuento;;;;;;
274;2277-L;COROLLA 90 MAMMUT ;2;;;;;Embellecedor CORONA 88-89;0
;400300;Cruceta de dirección Completa TOYOTA  AE 90  ( CARDAN ) YOI-273;0;;;;;EMBELLECEDOR DE MALETERO MITSUBISHI LANCER EVO 6;0
1085;400002;Cruceta de dirección Completa TOYOTA TURING HIDRAULICO CORTO YOI-265;0;;;;;Embellecedor FORESTER CARBONO ;0
1087;400200;Cruceta de dirección Completa YOI-272 UNIVERSAL;0;;;;;Embellecedor FORESTER FIBRA;0
;TO-514-0;CRUCETA suelta;4;;;;;Embellecedor MITSUBISHI EVOLUCION LANCER 1,2,3;0
;MBD-005U;DISCO DE EMBREAGUE EXEDY SUZUKI APV;0;;;;;Embellecedor MITSUBISHI EVOLUCION LANCER1,2,3;0
1205;FJD005U;Disco Subaru DOMINGO;0;;;;;Espejo  COROLLA AE 100 6 PINES;2
907;CPU-4W;ECU SUBARU;0;;;;;Espejo ATRAIL CROMADO ;0
;DG07049GA;ECU SUBARU;0;;;;;ESPEJO B13;0
1198;DF12001;ECU TOYOTA 3SG;0;;;;;Espejo CAMRY;0
;YY213M-R;ELSEJO B13;0;;;;;Espejo CEDRICK Y31/Y30   87/89;0
;215-1528-A-L;Embellecedor CALDINA GT;0;;;;;Espejo CHANCHO ;0
;215-1528-A-R;Embellecedor CALDINA GT;0;;;;;Espejo CHAPULIN HUEVO ;0
;211-1909-R;Embellecedor CALDINA TURING ;0;;;;;Espejo CHARIOT RVR;1
776;20-334-L;Embellecedor CORONA 88-89;0;;;;;Espejo COROLLA 92 NEGRO R/L Retrovisor MAMUT Unidad CARIB SPRINTER;0
777;20-334-R;Embellecedor CORONA 88-89;0;;;;;Espejo CRESSIDA ;0
;TD-30-L;EMBELLECEDOR DE MALETERO MITSUBISHI LANCER EVO 6;0;;;;;Espejo DATAUN ATRAIL NEGRO ;2
;TD-30-R;EMBELLECEDOR DE MALETERO MITSUBISHI LANCER EVO 6;0;;;;;Espejo DE MALETERO UNIVERSAL VARIOS CON BRAZO;0
;ESP-PROBOX;Embellecedor FORESTER CARBONO ;0;;;;;Espejo HIACE 96;1
;F-A-CELICA;Embellecedor FORESTER FIBRA;0;;;;;Espejo HIACE 96 LOBO CHINO;0
760;12-263-L;Embellecedor MITSUBISHI EVOLUCION LANCER 1,2,3;0;;;;;Espejo hiace 99;1
793;12-259-R;Embellecedor MITSUBISHI EVOLUCION LANCER1,2,3;0;;;;;Espejo HILUX MILENIUM LN145. 98-99-2000 TYM1089BL;1
1063;5726-L;Espejo  COROLLA AE 100 6 PINES;1;;;;;Espejo HILUX VIGO Mod.2004-05-06-07-08-09-10-2011;1
265;5770-L;Espejo  COROLLA AE 100 6 PINES;1;;;;;Espejo HONDA  VARIOS ;0
1024;043-1212-L;Espejo ATRAIL CROMADO ;0;;;;;Espejo HONDA ACCORD 96 ELECTRICO;0
1025;043-1212-R;Espejo ATRAIL CROMADO ;0;;;;;Espejo HONDA ACCORD ELECTRICO;0
;YY213M-L;ESPEJO B13;0;;;;;Espejo HONDA EG ELECTRICO 3 PINES;0
968;547483-L;Espejo CAMRY;0;;;;;Espejo HONDA EG ELEVTRICO ;0
257;8109-L;Espejo CEDRICK Y31/Y30   87/89;0;;;;;Espejo HONDA EG ELEVTRICO 7 PINES;0
258;8109-R;Espejo CEDRICK Y31/Y30   87/89;0;;;;;Espejo HONDA EG MANUAL;0
239;P38-L;Espejo CHANCHO ;0;;;;;Espejo HONDA EK 95 /2 PuertaS ELECTRICO 3 PINES;0
;30502-AA051;Espejo CHAPULIN HUEVO ;0;;;;;Espejo Honda Prelude 87-92 ;0
981;3095-L;Espejo CHAPULIN HUEVO ;0;;;;;Espejo Honda varios ;0
240;3965-L;Espejo CHARIOT RVR;1;;;;;Espejo LAND CRUISER FJ75 Mod.85-2000 Negro Manual;1
;231-1912-L;Espejo COROLLA 92 NEGRO R/L Retrovisor MAMUT Unidad CARIB SPRINTER;0;;;;;Espejo LEVIN 95 ELECTRICO ;0
;231-1942-L;Espejo COROLLA 92 NEGRO R/L Retrovisor MAMUT Unidad CARIB SPRINTER;0;;;;;Espejo LEVIN AE101;0
374;20-145-L;Espejo CRESSIDA ;0;;;;;Espejo MISTUBISHI MONTERO NEGRO ;0
656;043-1150-R;Espejo DATAUN ATRAIL NEGRO ;2;;;;;Espejo MITSIBISHI JUNIOR ;2
330;E-VAR-R;Espejo DE MALETERO UNIVERSAL VARIOS CON BRAZO;0;;;;;Espejo MITSUBISH GRANDDIS CROMADO ;2
301;3369-L;Espejo HIACE 96;1;;;;;Espejo MITSUBISHI CHALLENGER ;1
302;3369-R;Espejo HIACE 96 LOBO CHINO;0;;;;;Espejo MITSUBISHI EVO 9 ;0
;R-DET-L;Espejo hiace 99;1;;;;;Espejo MITSUBISHI IO;0
;YT7038C-L;Espejo HILUX MILENIUM LN145. 98-99-2000 TYM1089BL;1;;;;;Espejo MITSUBISHI LANCER 92;0
;YT8022BE-L;Espejo HILUX VIGO Mod.2004-05-06-07-08-09-10-2011;1;;;;;Espejo MITSUBISHI LANCER 99;0
329;E-VAR-L;Espejo HONDA  VARIOS ;0;;;;;Espejo MITSUBISHI MONTERO CROMADO ELECTRICO YT7230;0
