CODIGO_ITEM ;NRO_PIEZA ;CODIGO_2 ;CODIGO_SUSTITUTO_1 ;DESCRIPCION ;CATEGORIA ;PRECIO_1_BS ;PESO ;VOL_CM3_UNID ;VOL_CBM_UNID ;UNID_X_CAJA ;NOMBRE_FAMILIA ;NOMBRE_GRUPO ;NOMBRE_SUBGRUPO ;NOMBRE_MARCA ;NOMBRE_UNIDAD ;NOMBRE_ORIGEN ;ALMACEN ;STOCK_MINIMO ;STOCK_MAXIMO ;NOMBRE_PROVEEDOR_1 ;NOMBRE_PROVEEDOR_2 ;NOMBRE_PROVEEDOR_3 ;CANTIDAD ;
CH-216021;;;"HB1 9004";FOCO 9004 12V*100-80W, P-HALOGENO FAROL MD-BLANCO;ACCESORIO;9;0,0225;0;0;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (4), MUESTRAS: (1), CENTRAL MONTERO: (0), A: (131), E: (3160);;;HANGZHOU-AM;;;3296;
CH-216022;;;"HB3 9005";FOCO 9005 12V*100W, P-HALOGENO FAROL MD-BLANCO;ACCESORIO;9;0,0275;0,011;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;MUESTRAS: (1), CENTRAL MONTERO: (0), PAU: (0), A: (112), E: (1055);;;HANGZHOU-AM;;;1168;
CH-216023;;;"P22D 9006";FOCO 9006 12V*100W, P-HALOGENO FAROL MD-BLANCO;ACCESORIO;7,2;0,0225;0;0;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;CENTRAL MONTERO: (0), PAU: (0), A: (110), E: (1688);;;HANGZHOU-AM;FERIA BL;;1798;
CH-216020;;;"HB5 9007";FOCO 9007 12V*100-80W, P-HALOGENO FAROL MD-BLANCO;ACCESORIO;9;0,0425;0,0137;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (8), CENTRAL MONTERO: (0), A: (134), E: (2570);;;HANGZHOU-AM;FERIA BL;;2712;
CH-216002;;;"H1";FOCO H1 12V*100W, 1 FIL-BLANCO;ACCESORIO;4,5;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (1), SUCURSAL KM.14: (10), MUESTRAS: (1), CENTRAL MONTERO: (0), PAU: (0), A: (4), E: (0);;;HANGZHOU-AM;;;16;
CH-216001;;;"H1";FOCO H1 12V*55W, 1 FIL-BLANCO;ACCESORIO;4,5;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (5), CENTRAL MONTERO: (0), PAU: (0), A: (469), E: (840);;;HANGZHOU-AM;;;1314;
CH-216019;;;"H11";FOCO H11 12V*100W, 1 FIL-BLANCO;ACCESORIO;9;0,0225;0;0;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL RADIAL 26: (1), SUCURSAL KM.14: (6), CENTRAL MONTERO: (0), A: (1), E: (0);;;HANGZHOU-AM;;;8;
CH-216005;;;"PK22S H3";FOCO H3 12V*100W, P-HALOGENO-BLANCO;ACCESORIO;3,6;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), CENTRAL MONTERO: (0), A: (246), E: (3150);;;HANGZHOU-AM;;;3406;
CH-216006;;;"PK22S H3";FOCO H3 12V*100W, P-HALOGENO-BLUE;ACCESORIO;5,4;0,01;0,01;0,0001;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), PAU-A: (0), CENTRAL MONTERO: (0), A: (542), E: (750);;;HANGZHOU-AM;FERIA BL;;1302;
CH-216004;;;"H3";FOCO H3 12V*55W, P-HALOGENO-BLANCO;ACCESORIO;3,6;0,009;0;0;1000;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), MUESTRAS: (1), CENTRAL MONTERO: (0), A: (345), E: (690);;;HANGZHOU-AM;FERIA BL;;1046;
CH-216010;;;"P43T H4";FOCO H4 12V*100-90W,P- FAROL-BLUE;ACCESORIO;10,8;0,04;0,0105;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (14), PAU-A: (0), MUESTRAS: (1), CENTRAL MONTERO: (0), PAU: (0), A: (175), E: (756);;;HANGZHOU-AM;;;946;
CH-216008;;;216008;FOCO H4 12V*130-100W, P- FAROL-BLANCO;ACCESORIO;8,1;0,035;0;0;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (0), MUESTRAS: (1), CENTRAL MONTERO: (0), PAU: (0), A: (160), E: (4377);;;HANGZHOU-AM;FERIA BL;;4538;
CH-216007;;;"H4";FOCO H4 12V*60-55W, P- FAROL-BLANCO;ACCESORIO;8,1;0,035;0;0;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;FALLAS DE FABRICA: (5), SUCURSAL KM.14: (0), CENTRAL MONTERO: (0), PAU: (0), A: (95), E: (1097);;;HANGZHOU-AM;FERIA BL;;1197;
CH-216009;;;"P43T H4";FOCO H4 24V*100-90W, P-FAROL-BLANCO;ACCESORIO;8,1;0,04;0,0105;0,0002;200;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (6), MUESTRAS: (1), CENTRAL MONTERO: (0), A: (29), E: (2180);;;HANGZHOU-AM;FERIA BL;;2216;
CH-216012;;;"H7";FOCO H7 12V*100W, P-HALOGENO FAROL-BLANCO;ACCESORIO;8,1;0,015;0;0;500;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;BOLIVIA;SUCURSAL KM.14: (10), PAU-A: (0), MUESTRAS: (1), CENTRAL MONTERO: (0), A: (528), E: (2996);;;HANGZHOU-AM;FERIA BL;;3535;
CH-216013;;;"H7";FOCO H7 12V*100W,P-HALOGENO FAROL-BLUE;ACCESORIO;8,1;0,015;0;0;500;UNIVERSAL;ACCESORIOS;FOCOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (9), CENTRAL MONTERO: (0), PAU: (0), A: (238), E: (2148);;;HANGZHOU-AM;FERIA BL;;2395;
CH-216070;;;;FOCO H7 12V*155 W, P/FAROL/BLANCO;ACCESORIO;8,1;0,03;0;0;500;UNIVERSAL;ACCESORIOS;VARIOS;ÑEQUE;UNIDAD;CHINA;SUCURSAL KM.14: (10), CENTRAL MONTERO: (0), PAU: (0), E: (970);;;HANGZHOU-AM;;;980;
